ap ,id    ,date    ,hjd          ,ra       ,dec      ,v     ,bv    ,teff  ,feh   ,feh_err,logg  ,logg_err,vsini ,vsini_err,rv        ,rve    ,fwhm      ,ccph  ,instr 
51,100765,20110122,2455583.84217,5.874104,32.734815,11.257,0.228,9767,0.148,0.038,5.041,0.21,69.23,0.1,14.009,3.237,55.46,0.7769,chelle
15,100765,20120309,2455995.69966,88.111565,32.73481,11.257,0.228,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,20.0264,8.023,158.21,0.62,hydraN
195,100767,20091127,2455162.79716,5.877029,32.732536,12.404,0.293,8713,-0.434,0.06,3.053,0.141,77.27,0.07,7.189,4.529,62.85,0.6873,chelle
193,100768,20091127,2455162.79716,5.877634,32.735458,13.348,0.574,7003,-0.26,0.034,4.39,0.07,45.75,0.2,2.374,2.337,39.58,0.892,chelle
84,100768,20100131,2455227.8501,5.877634,32.735458,13.348,0.574,7003,-0.28,0.03,4.53,0.068,44.5,0.1,2.1733,2.221,39.1,0.8661,chelle
189,100768,20110206,2455598.61712,5.877634,32.73546,13.348,0.574,7003,-0.24,0.028,4.4,0.066,46.25,0.25,2.285,2.336,39.96,0.8933,chelle
15,100796,20080130,2454495.62534,88.182106,32.761856,15.157,0.817,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,8.8917,6.214,33.53,0.1,hydraN
77,100796,20080224,2454520.59666,88.182106,32.761856,15.157,0.817,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,13.7703,0.701,33.54,0.86,hydraN
77,100796,20081013,2454752.89494,88.182106,32.761856,15.157,0.817,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,14.1056,1.439,36.05,0.77,hydraN
30,100796,20090316,2454906.73872,88.182106,32.761856,15.157,0.817,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,13.6966,1.445,34.86,0.91,hydraN
26,100796,20110223,2455615.65734,88.182106,32.761856,15.157,0.817,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,13.7924,0.631,35.07,0.92,hydraN
15,100796,20140110,2456667.67539,88.182106,32.761856,15.157,0.817,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,14.3578,0.442,35.49,0.96,hydraN
77,100796,20140111,2456668.6731,88.182106,32.761856,15.157,0.817,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,14.3644,0.513,36.01,0.93,hydraN
26,100796,20150309,2457090.78388,88.182106,32.761856,15.157,0.817,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,14.2292,0.372,34.37,0.93,hydraN
68,100974,20101130,2455531.00933,5.876835,32.72187,14.427,0.383,7800,0.5,0,2,0,200,0,1137.93,0,0,0.208,chelle
87,100975,20100131,2455227.8501,5.879632,32.732803,14.082,0.703,6388,-0.113,0.04,4.557,0.094,8.81,0.04,30.8,0.384,13.16,0.8951,chelle
63,100975,20101130,2455531.00933,5.879632,32.732805,14.082,0.703,6388,-0.043,0.037,4.432,0.086,9.76,0.08,31.048,0.372,13.44,0.9108,chelle
73,110001,20080322,2454547.62171,88.092918,32.691971,14.691,0.636,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,7.3357,4.703,71.43,0.61,hydraN
20,110001,20090113,2454844.64143,88.092918,32.691971,14.691,0.636,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,11.1203,0.874,28.45,0.57,hydraN
24,110001,20090312,2454902.74044,88.092918,32.691971,14.691,0.636,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,11.2721,4.861,55.93,0.39,hydraN
30,110001,20100105,2455201.66881,88.092918,32.691971,14.691,0.636,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,8.5259,3.341,76.96,0.76,hydraN
51,110001,20101130,2455531.00933,5.872861,32.691975,14.691,0.636,6693,-0.696,0.042,4.315,0.059,85.9,0.17,9.7756,6.659,74.37,0.7651,chelle
77,110001,20121210,2456271.89222,88.092918,32.691971,14.691,0.636,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,9.0516,1.08,71.3,0.77,hydraN
26,110001,20130119,2456311.80951,88.092918,32.691971,14.691,0.636,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,9.7906,3.479,72.48,0.71,hydraN
24,110001,20131223,2456649.86187,88.092918,32.691971,14.691,0.636,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,7.9568,3.211,77.51,0.75,hydraN
30,110001,20140110,2456667.84234,88.092918,32.691971,14.691,0.636,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,6.0865,3.588,70.39,0.71,hydraN
77,110001,20140216,2456704.62335,88.092918,32.691971,14.691,0.636,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,3.6542,5.352,68.08,0.64,hydraN
60,110001,20141006,2456936.95638,88.092918,32.691971,14.691,0.636,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,8.6376,9.742,79.98,0.4,hydraN
60,110001,20150205,2457058.70573,88.092918,32.691971,14.691,0.636,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,10.182,1.727,77.97,0.77,hydraN
77,110001,20150209,2457062.71272,88.092918,32.691971,14.691,0.636,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,9.4131,2.323,73.88,0.78,hydraN
